511145.b0002	P00561
511145.b0003	P00547
511145.b0004	P00934
511145.b0006	P0A8I3
511145.b0008	P0A870
511145.b0009	P0AF03
511145.b0014	P0A6Y8
511145.b0015	P08622
511145.b0019	P13738
511145.b0023	P0A7U7
511145.b0025	P0AG40
511145.b0026	P00956
511145.b0028	P0AEM0
511145.b0029	P62623
511145.b0030	P22564
511145.b0031	P04036
511145.b0032	P0A6F1
511145.b0033	P00968
511145.b0040	P31553
511145.b0042	P31574
511145.b0045	P31679
511145.b0047	P03819
511145.b0048	P0ABQ4
511145.b0051	P06992
511145.b0052	P19624
511145.b0053	P0ABZ6
511145.b0054	P31554
511145.b0055	P31680
511145.b0058	P0AA37
511145.b0059	P60240
511145.b0062	P08202
511145.b0063	P08204
511145.b0066	P31548
511145.b0071	P30126
511145.b0073	P30125
511145.b0074	P09151
511145.b0077	P00893
511145.b0078	P00894
511145.b0080	P0ACP1
511145.b0082	P60390
511145.b0083	P0AEN4
511145.b0084	P0AD68
511145.b0085	P22188
511145.b0086	P11880
511145.b0087	P0A6W3
511145.b0088	P14900
511145.b0089	P0ABG4
511145.b0090	P17443
511145.b0091	P17952
511145.b0092	P07862
511145.b0093	P06136
511145.b0094	P0ABH0
511145.b0095	P0A9A6
511145.b0096	P0A725
511145.b0098	P10408
511145.b0101	P0A8H8
511145.b0102	P36680
511145.b0104	P60560
511145.b0106	P36646
511145.b0109	P30011
511145.b0111	P0AE14
511145.b0113	P0ACL9
511145.b0114	P0AFG8
511145.b0115	P06959
511145.b0116	P0A9P0
511145.b0118	P36683
511145.b0119	P0A8E5
511145.b0120	P0A7F6
511145.b0121	P09158
511145.b0123	P36649
511145.b0124	P15877
511145.b0125	P0A9M2
511145.b0126	P61517
511145.b0127	P36879
511145.b0130	P31666
511145.b0131	P0A790
511145.b0133	P31663
511145.b0134	P31057
511145.b0138	P37018
511145.b0139	P33129
511145.b0143	P0ABF1
511145.b0145	P0ABS1
511145.b0148	P37024
511145.b0149	P02919
511145.b0150	P06971
511145.b0151	P07821
511145.b0154	P23893
511145.b0155	P37019
511145.b0156	P0ACC3
511145.b0159	P0AF12
511145.b0160	P15723
511145.b0161	P0C0V0
511145.b0162	P37047
511145.b0163	P62768
511145.b0166	P0A9D8
511145.b0167	P27249
511145.b0168	P0AE18
511145.b0169	P0A7V0
511145.b0170	P0A6P1
511145.b0171	P0A7E9
511145.b0172	P0A805
511145.b0174	P60472
511145.b0176	P0AEH1
511145.b0177	P0A940
511145.b0178	P0AEU7
511145.b0179	P21645
511145.b0180	P0A6Q6
511145.b0181	P0A722
511145.b0184	P10443
511145.b0185	P0ABD5
511145.b0186	P52095
511145.b0188	P52097
511145.b0189	P0AFW8
511145.b0192	P40710
511145.b0194	P16659
511145.b0196	P69411
511145.b0197	P28635
511145.b0198	P31547
511145.b0199	P30750
511145.b0200	P63228
511145.b0207	P30863
511145.b0208	P30864
511145.b0209	P0A8U2
511145.b0211	P0AEZ7
511145.b0212	P0AC84
511145.b0214	P0A7Y4
511145.b0217	P77339
511145.b0220	P0AD59
511145.b0221	Q47146
511145.b0222	P63224
511145.b0223	Q47147
511145.b0226	Q47150
511145.b0228	Q47152
511145.b0237	P15288
511145.b0238	P0A9M5
511145.b0239	P04335
511145.b0242	P0A7B5
511145.b0243	P07004
511145.b0245	P77692
511145.b0252	P77206
511145.b0261	Q47690
511145.b0268	P75682
511145.b0271	P77713
511145.b0273	P06960
511145.b0278	P77607
511145.b0281	P71298
511145.b0284	P77489
511145.b0287	P0AAA1
511145.b0290	P77694
511145.b0291	P77802
511145.b0292	P77188
511145.b0308	P77433
511145.b0310	P77180
511145.b0312	P17445
511145.b0314	P0ABC9
511145.b0315	P21514
511145.b0325	P75691
511145.b0329	P75694
511145.b0330	P77743
511145.b0333	P31660
511145.b0336	P0AA82
511145.b0337	P25524
511145.b0338	P27111
511145.b0341	P17583
511145.b0342	P07464
511145.b0346	P77569
511145.b0347	P77397
511145.b0349	P77044
511145.b0354	P51024
511145.b0355	P51025
511145.b0356	P25437
511145.b0357	P0AAP3
511145.b0363	Q47536
511145.b0367	Q47539
511145.b0369	P0ACB2
511145.b0381	P0A6J8
511145.b0382	P0AAN9
511145.b0383	P00634
511145.b0386	P0A9L8
511145.b0387	P0A8D3
511145.b0391	P0C037
511145.b0393	P36767
511145.b0394	P23917
511145.b0397	P13458
511145.b0400	P08400
511145.b0406	P0A847
511145.b0407	P0ADZ7
511145.b0408	P0AG90
511145.b0409	P0AG93
511145.b0411	P0A927
511145.b0412	P46122
511145.b0413	P0A8D0
511145.b0414	P25539
511145.b0415	P61714
511145.b0416	P0A780
511145.b0419	P77735
511145.b0420	P77488
511145.b0422	P0A8G9
511145.b0423	P77718
511145.b0424	Q46948
511145.b0426	P0A8E7
511145.b0431	P0ABI8
511145.b0432	P0ABJ1
511145.b0434	P0ADA5
511145.b0435	P0ABE2
511145.b0436	P0A850
511145.b0437	P0A6G7
511145.b0438	P0A6H1
511145.b0439	P0A9M0
511145.b0440	P0ACF4
511145.b0441	P0ADY1
511145.b0444	P77756
511145.b0448	P77265
511145.b0450	P0AC55
511145.b0451	P69681
511145.b0452	P0AGG2
511145.b0453	P77717
511145.b0458	P0AAS0
511145.b0462	P31224
511145.b0463	P0AE06
511145.b0464	P0ACS9
511145.b0465	P77338
511145.b0467	P23862
511145.b0468	P0AAR5
511145.b0469	P69503
511145.b0470	P06710
511145.b0471	P0A8B5
511145.b0472	P0A7H6
511145.b0473	P0A6Z3
511145.b0474	P69441
511145.b0475	P23871
511145.b0477	P0AEW6
511145.b0478	P39830
511145.b0479	P52067
511145.b0480	P07024
511145.b0481	P0AAR3
511145.b0484	Q59385
511145.b0485	P77454
511145.b0487	P0A9G4
511145.b0489	P0AA53
511145.b0491	P77307
511145.b0492	P77395
511145.b0493	P0AFP4
511145.b0496	P77504
511145.b0503	P33667
511145.b0504	P0ACR0
511145.b0506	P0ACN4
511145.b0512	P77671
511145.b0515	P75713
511145.b0520	P0AAS5
511145.b0522	P09029
511145.b0523	P0AG18
511145.b0525	P23869
511145.b0526	P21888
511145.b0528	P0AAS7
511145.b0529	P24186
511145.b0531	P77249
511145.b0535	P0AEL8
511145.b0544	P77698
511145.b0551	Q47274
511145.b0559	P64435
511145.b0565	P09169
511145.b0568	P31600
511145.b0569	P0AFA5
511145.b0570	P77485
511145.b0575	P38054
511145.b0577	P0AAT4
511145.b0578	P38489
511145.b0579	P0AAT2
511145.b0581	P77213
511145.b0584	P05825
511145.b0585	P13039
511145.b0586	P11454
511145.b0587	P26266
511145.b0588	P23878
511145.b0592	P0AEL6
511145.b0593	P0AEJ2
511145.b0594	P10378
511145.b0595	P0ADI4
511145.b0596	P15047
511145.b0597	P0A8Y8
511145.b0598	P15078
511145.b0599	P45579
511145.b0605	P0AE08
511145.b0606	P35340
511145.b0607	P39177
511145.b0610	P0AFW4
511145.b0611	P21338
511145.b0614	P0A6G5
511145.b0618	P77390
511145.b0620	P0AEF4
511145.b0623	P0A972
511145.b0627	P0A843
511145.b0628	P60716
511145.b0630	P60720
511145.b0631	P0A8J4
511145.b0632	P0AEB2
511145.b0633	P10100
511145.b0635	P0AD65
511145.b0636	P0A8I8
511145.b0637	P0AAT6
511145.b0640	P28630
511145.b0641	P0ADC1
511145.b0642	P07813
511145.b0643	P0AAT9
511145.b0645	P77627
511145.b0650	P77319
511145.b0651	P41409
511145.b0652	P0AAG3
511145.b0655	P37902
511145.b0657	P23930
511145.b0658	P0AE78
511145.b0659	P0A898
511145.b0660	P0A9K3
511145.b0661	P0AEI1
511145.b0662	P75728
511145.b0674	P22106
511145.b0675	P0AF24
511145.b0676	P0AF20
511145.b0677	P0AF18
511145.b0678	P0A759
511145.b0679	P09323
511145.b0680	P00962
511145.b0683	P0A9A9
511145.b0684	P61949
511145.b0686	P75736
511145.b0687	P0AFY8
511145.b0688	P36938
511145.b0693	P24169
511145.b0694	P21866
511145.b0695	P21865
511145.b0697	P03960
511145.b0698	P03959
511145.b0699	P0AAU2
511145.b0700	P16918
511145.b0707	P24252
511145.b0710	P0AFP6
511145.b0711	P0AAV4
511145.b0712	P75745
511145.b0716	P75748
511145.b0720	P0ABH7
511145.b0721	P69054
511145.b0722	P0AC44
511145.b0723	P0AC41
511145.b0724	P07014
511145.b0726	P0AFG3
511145.b0727	P0AFG6
511145.b0728	P0A836
511145.b0729	P0AGE9
511145.b0730	P13669
511145.b0732	P54746
511145.b0733	P0ABJ9
511145.b0734	P0ABK2
511145.b0736	P0A8Z3
511145.b0737	P0ABU9
511145.b0738	P0ABV6
511145.b0739	P19934
511145.b0740	P0A855
511145.b0741	P0A912
511145.b0742	P45955
511145.b0753	P0AAV6
511145.b0754	P0AB91
511145.b0755	P62707
511145.b0756	P0A9C3
511145.b0757	P0A6T3
511145.b0759	P09147
511145.b0761	P0A9G8
511145.b0763	P37329
