From	To
4896.SPAC1002.02-1	Q9US56
4896.SPAC1002.03c-1	Q9US55
4896.SPAC1002.04c-1	Q9US54
4896.SPAC1002.07c-1	P79081
4896.SPAC1002.09c-1	O00087
4896.SPAC1002.11-1	Q9US48
4896.SPAC1002.12c-1	Q9US47
4896.SPAC1002.13c-1	Q9UR09
4896.SPAC1002.15c-1	Q9US45
4896.SPAC1002.17c-1	Q9US43
4896.SPAC1002.18-1	Q9US42
4896.SPAC1002.19-1	Q9US41
4896.SPAC1006.01-1	Q9UTS0
4896.SPAC1006.03c-1	Q9UTR8
4896.SPAC1006.05c-1	Q9UTR6
4896.SPAC1006.06-1	Q9UTR5
4896.SPAC1006.07-1	P47943
4896.SPAC1006.09-1	O74304
4896.SPAC1039.01-1	Q9US40
4896.SPAC1039.02-1	Q9US39
4896.SPAC1039.03-1	Q9US38
4896.SPAC1039.05c-1	Q9US36
4896.SPAC1039.06-1	Q9US35
4896.SPAC1039.07c-1	Q9US34
4896.SPAC1039.09-1	P40901
4896.SPAC1039.10-1	Q9UR06
4896.SPAC105.02c-1	Q9P7I0
4896.SPAC1071.01c-1	Q10222
4896.SPAC1071.02-1	Q9UTR1
4896.SPAC1071.04c-1	Q9UTQ9
4896.SPAC1071.05-1	Q9UTQ8
4896.SPAC1071.06-1	Q9UTQ7
4896.SPAC1071.10c-1	P09627
4896.SPAC1071.12c-1	P41893
4896.SPAC1093.02-1	Q9UTQ1
4896.SPAC1093.04c-1	Q9UTQ0
4896.SPAC1093.05-1	Q9UTP9
4896.SPAC1093.06c-1	O13290
4896.SPAC10F6.01c-1	Q1K9C2
4896.SPAC10F6.02c-1	O42643
4896.SPAC10F6.03c-1	O42644
4896.SPAC10F6.04-1	O42645
4896.SPAC10F6.05c-1	O42646
4896.SPAC10F6.06-1	P87216
4896.SPAC10F6.08c-1	O42648
4896.SPAC10F6.09c-1	O42649
4896.SPAC10F6.10-1	O42650
4896.SPAC10F6.11c-1	O42651
4896.SPAC10F6.12c-1	P87014
4896.SPAC10F6.13c-1	O42652
4896.SPAC10F6.14c-1	O42653
4896.SPAC10F6.16-1	P79058
4896.SPAC10F6.17c-1	O14189
