From	To
224308.BSU38530	P39578
224308.BSU22540	P46913
224308.BSU12030	O31647
224308.BSU24680	P25958
224308.BSU15060	O34513
224308.BSU37400	P71008
224308.BSU28860	P55874
224308.BSU32860	O32180
224308.BSU25140	P54475
224308.BSU15870	O34942
224308.BSU05610	P39115
224308.BSU20400	O31908
224308.BSU07520	O34348
224308.BSU09790	O07543
224308.BSU13600	O31667
224308.BSU06070	O34680
224308.BSU38520	P39579
224308.BSU12020	O31646
224308.BSU22550	P46912
224308.BSU01400	P20278
224308.BSU15050	O34470
224308.BSU28870	P55872
224308.BSU15880	O34835
224308.BSU24690	P25957
224308.BSU25130	P54476
224308.BSU32870	O32181
224308.BSU07510	O34933
224308.BSU20410	O31909
224308.BSU05620	P96704
224308.BSU06060	O34939
224308.BSU28840	P94519
224308.BSU26610	P54428
224308.BSU22560	P46911
224308.BSU15080	O34687
224308.BSU37420	P71006
224308.BSU13620	O31669
224308.BSU15850	O34635
224308.BSU38550	P39576
224308.BSU12050	O31649
224308.BSU25160	P54473
224308.BSU32880	O32182
224308.BSU20420	P68575
224308.BSU05630	Q02886
224308.BSU26619	C0H458
224308.BSU15090	O34549
224308.BSU09770	O07545
224308.BSU26600	P39909
224308.BSU22570	P54391
224308.BSU28850	P55873
224308.BSU15070	O34445
224308.BSU05200	P96665
224308.BSU13610	O31668
224308.BSU06090	O35025
224308.BSU38540	P39577
224308.BSU37410	P71007
224308.BSU32890	O32183
224308.BSU25150	P54474
224308.BSU12040	O31648
224308.BSU15860	O34607
224308.BSU20430	O31910
224308.BSU05640	P96705
224308.BSU09780	O07544
224308.BSU07530	O34626
224308.BSU15830	O34318
224308.BSU38570	P46319
224308.BSU25100	P54479
224308.BSU15020	O34797
224308.BSU26630	P71025
224308.BSU19970	P68583
224308.BSU24640	P40949
224308.BSU19090	O34637
224308.BSU07560	P39116
224308.BSU22500	P42979
224308.BSU06030	P28598
224308.BSU32820	O32176
224308.BSU05650	P96706
224308.BSU15840	O34751
224308.BSU38560	P46320
224308.BSU10090	P38048
224308.BSU12060	O31650
224308.BSU15010	O34331
224308.BSU24650	O32019
224308.BSU19980	O31872
224308.BSU26620	O07086
224308.BSU07550	P80241
224308.BSU05660	P96707
224308.BSU06020	P28599
224308.BSU19080	O34910
224308.BSU22510	P42978
224308.BSU32830	O32177
224308.BSU15810	P37817
224308.BSU12090	P11863
224308.BSU38590	P46318
224308.BSU19990	O34537
224308.BSU26650	O07084
224308.BSU25120	P54477
224308.BSU15040	O34731
224308.BSU22520	P54393
224308.BSU07580	O34427
224308.BSU19070	O34892
224308.BSU05670	P96708
224308.BSU32840	O32178
224308.BSU29490	P80864
224308.BSU38580	P46317
224308.BSU28890	P94517
224308.BSU12080	O31652
224308.BSU15820	P37807
224308.BSU22530	P54392
224308.BSU15030	O34765
224308.BSU25110	P54478
224308.BSU26640	O07085
224308.BSU24670	P25959
224308.BSU21400	O31981
224308.BSU19060	O34376
224308.BSU07570	O34726
224308.BSU05680	P96709
224308.BSU32850	O32179
224308.BSU31730	O32089
224308.BSU09710	O07550
224308.BSU08260	P54723
224308.BSU21410	O31982
224308.BSU23550	P54572
224308.BSU10040	P55339
224308.BSU16590	P32726
224308.BSU14220	O34564
224308.BSU10990	O06743
224308.BSU08270	P54724
224308.BSU27330	O32033
224308.BSU18400	O34555
224308.BSU37480	P71000
224308.BSU29480	P37876
224308.BSU26670	P94501
224308.BSU00330	P37542
224308.BSU20480	O31915
224308.BSU09720	O07549
224308.BSU31740	P14203
224308.BSU11500	O31602
224308.BSU07590	O34534
224308.BSU26660	P94502
224308.BSU21420	O31983
224308.BSU16580	P13267
224308.BSU23560	P54571
224308.BSU10050	P55340
224308.BSU08280	P94437
224308.BSU10980	Q796Q1
224308.BSU29690	P39065
224308.BSU14230	O31699
224308.BSU18410	P54422
224308.BSU27340	O32034
224308.BSU29470	P37877
224308.BSU00320	P37541
224308.BSU20490	O31916
224308.BSU31750	O32090
224308.BSU11510	O31603
224308.BSU06010	O05525
224308.BSU08240	P54721
224308.BSU18420	O34685
224308.BSU14200	O34783
224308.BSU27310	O32032
224308.BSU10970	O06741
224308.BSU21430	O31984
224308.BSU23570	P26899
224308.BSU29460	O34457
224308.BSU10060	P55341
224308.BSU26690	P94499
224308.BSU00350	O31414
224308.BSU09700	O07551
224308.BSU08250	P54722
224308.BSU10960	O06740
224308.BSU06000	O05524
224308.BSU11520	P37958
224308.BSU14210	O34897
224308.BSU27320	P80240
224308.BSU18430	O35017
224308.BSU23580	P26900
224308.BSU21440	P68571
224308.BSU10070	O07598
224308.BSU26680	P94500
224308.BSU31760	O32091
224308.BSU37490	P70999
224308.BSU00340	P37543
224308.BSU29450	O34347
224308.BSU10950	O06739
224308.BSU08220	P54719
224308.BSU09750	P04832
224308.BSU33100	O32199
224308.BSU14260	O31701
224308.BSU29440	O34858
224308.BSU20440	O31911
224308.BSU00370	P08874
224308.BSU31770	O32092
224308.BSU23590	Q07683
224308.BSU37440	P71004
224308.BSU28820	P94521
224308.BSU21450	O31986
224308.BSU29660	P21466
224308.BSU40400	Q45614
224308.BSU10000	O07516
224308.BSU11530	O31604
224308.BSU18440	O34399
224308.BSU10940	O06738
224308.BSU08230	P54720
224308.BSU09760	O07546
224308.BSU00360	P37544
224308.BSU14270	O31702
224308.BSU20450	O31912
224308.BSU31780	O32093
224308.BSU29650	O34325
224308.BSU37430	P71005
224308.BSU21460	P68569
224308.BSU18450	P39812
224308.BSU27300	O32031
224308.BSU10010	O07515
224308.BSU40410	P37478
224308.BSU11540	O31605
224308.BSU09730	O07548
224308.BSU08200	P54715
224308.BSU10930	O06737
224308.BSU37460	P71002
224308.BSU20460	O31913
224308.BSU14240	O34857
224308.BSU29420	O34308
224308.BSU11550	O31606
224308.BSU04100	P42968
224308.BSU40420	P29726
224308.BSU00390	P37545
224308.BSU21470	P68579
224308.BSU29680	P39062
224308.BSU12010	O31645
224308.BSU18460	P20668
224308.BSU38510	P39580
224308.BSU15890	P71018
224308.BSU10020	P80862
224308.BSU28800	P94523
224308.BSU10920	O06736
224308.BSU08210	P54718
224308.BSU09740	O07547
224308.BSU05600	P96703
224308.BSU33900	P37869
224308.BSU37450	P71003
224308.BSU20470	O31914
224308.BSU14250	O31700
224308.BSU38500	P39581
224308.BSU40430	P37479
224308.BSU29410	Q795U4
224308.BSU00380	P37465
224308.BSU21480	P68577
224308.BSU04110	P42969
224308.BSU10030	O07513
224308.BSU11560	O31607
224308.BSU18470	O07509
224308.BSU29670	P22326
224308.BSU28810	P94522
224308.BSU12000	O31644
224308.BSU21380	O31979
224308.BSU04640	P10725
224308.BSU02410	O31463
224308.BSU03510	Q08787
224308.BSU11460	P24136
224308.BSU35290	P28367
224308.BSU33010	O32192
224308.BSU29610	O34894
224308.BSU04130	O31484
224308.BSU16500	P80700
224308.BSU33920	P27876
224308.BSU10900	O06734
224308.BSU40450	P37480
224308.BSU23600	P38423
224308.BSU39700	P26935
224308.BSU40440	P37469
224308.BSU04650	P96621
224308.BSU29400	O35038
224308.BSU21370	O31978
224308.BSU11450	P24139
224308.BSU03520	Q08788
224308.BSU33020	O32193
224308.BSU16510	O31749
224308.BSU29620	O34411
224308.BSU33910	P39773
224308.BSU10910	O06735
224308.BSU09000	O31593
224308.BSU11480	O31600
224308.BSU23620	P54569
224308.BSU10110	P38050
224308.BSU04660	P96622
224308.BSU03530	Q08791
224308.BSU39710	P42417
224308.BSU04150	P42972
224308.BSU16520	P81101
224308.BSU29630	O34970
224308.BSU14290	O31704
224308.BSU33940	P09124
224308.BSU40470	P37481
224308.BSU29640	O34553
224308.BSU11470	P24137
224308.BSU39720	P42416
224308.BSU10100	P38049
224308.BSU03540	Q08793
224308.BSU21390	O31980
224308.BSU04140	P42971
224308.BSU04670	P42409
224308.BSU33000	Q9R9I1
224308.BSU16530	O31751
224308.BSU27390	O34634
224308.BSU14280	O31703
224308.BSU33930	P40924
224308.BSU23610	P54570
224308.BSU40460	O32296
224308.BSU27380	O34828
224308.BSU16540	O31752
224308.BSU04170	P96575
224308.BSU35250	O34876
224308.BSU13590	O31666
224308.BSU04680	P42410
224308.BSU33960	P96710
224308.BSU23640	P54567
224308.BSU36300	P94591
224308.BSU02450	P40759
224308.BSU33050	P07868
224308.BSU34180	O07007
224308.BSU40490	P37483
224308.BSU31700	P45453
224308.BSU00400	P37546
224308.BSU04160	P96574
224308.BSU05290	P96673
224308.BSU11490	O31601
224308.BSU01390	P20458
224308.BSU00410	P37547
224308.BSU27370	O34758
224308.BSU04690	P42411
224308.BSU35260	O34814
224308.BSU36310	C0SPB6
224308.BSU34190	P71067
224308.BSU08190	P54717
224308.BSU33060	P07869
224308.BSU02440	P40758
224308.BSU16550	O31753
224308.BSU40480	P37482
224308.BSU33950	O32253
224308.BSU33980	O32254
224308.BSU35270	O34594
224308.BSU27360	O32036
224308.BSU01380	P19994
224308.BSU00420	P37468
224308.BSU33030	P40950
224308.BSU04190	P80873
224308.BSU23660	P54565
224308.BSU16560	O31754
224308.BSU34160	O07009
224308.BSU02430	O31465
224308.BSU08180	P54716
224308.BSU36320	P94589
224308.BSU31720	Q99039
224308.BSU33970	P96711
224308.BSU35280	O34792
224308.BSU27350	O32035
224308.BSU00430	P37548
224308.BSU29600	O34545
224308.BSU33040	P07343
224308.BSU04180	P96576
224308.BSU01370	P16304
224308.BSU34170	O07008
224308.BSU03500	P80355
224308.BSU16570	O31755
224308.BSU23650	P54566
224308.BSU08170	O31558
224308.BSU02420	O31464
224308.BSU36330	P94588
224308.BSU31710	P33690
224308.BSU19160	O35042
224308.BSU33090	O32198
224308.BSU24730	P25953
224308.BSU13550	O31662
224308.BSU36340	P94587
224308.BSU35210	O34502
224308.BSU01360	P16336
224308.BSU19150	O34516
224308.BSU34140	O07011
224308.BSU05260	P96671
224308.BSU39770	P46337
224308.BSU02490	P42238
224308.BSU32000	P39071
