From	To
83332.Rv0002	Q50790
83332.Rv0003	Q59586
83332.Rv0004	P71573
83332.Rv0005	P0C5C5
83332.Rv0006	Q07702
83332.Rv0007	P71575
83332.Rv0008c	P71577
83332.Rv0009	P65762
83332.Rv0010c	P71580
83332.Rv0011c	P67376
83332.Rv0013	Q7DAK6
83332.Rv0014c	P0A5S4
83332.Rv0015c	P65726
83332.Rv0016c	P71586
83332.Rv0017c	P63760
83332.Rv0018c	P71588
83332.Rv0019c	P71589
83332.Rv0020c	P71590
83332.Rv0023	P67704
83332.Rv0025	P71595
83332.Rv0026	P71596
83332.Rv0027	P64667
83332.Rv0028	P64669
83332.Rv0029	P71599
83332.Rv0030	P64671
83332.Rv0032	P71602
83332.Rv0034	P64673
83332.Rv0035	Q7DAJ8
83332.Rv0036c	P64675
83332.Rv0037c	P0A5C1
83332.Rv0038	P67757
83332.Rv0040c	P0A5Q6
83332.Rv0041	P67510
83332.Rv0042c	P71699
83332.Rv0043c	P67737
83332.Rv0044c	P71701
83332.Rv0045c	P71702
83332.Rv0046c	P71703
83332.Rv0047c	P71704
83332.Rv0048c	P71705
83332.Rv0049	P64677
83332.Rv0050	P71707
83332.Rv0051	P71708
83332.Rv0053	P66591
83332.Rv0054	P0A610
83332.Rv0055	P69230
83332.Rv0056	P66315
83332.Rv0058	P71715
83332.Rv0059	O53604
83332.Rv0060	O53605
83332.Rv0062	Q79G13
83332.Rv0063	O53608
83332.Rv0064	O53609
83332.Rv0065	O53610
83332.Rv0066c	O53611
83332.Rv0067c	O53612
83332.Rv0068	O53613
83332.Rv0069c	P66773
83332.Rv0070c	O53615
83332.Rv0072	O53617
83332.Rv0073	O53618
83332.Rv0074	O53619
83332.Rv0075	O53620
83332.Rv0077c	O53622
83332.Rv0078	O53623
83332.Rv0078A	Q8VKS0
83332.Rv0079	O53624
83332.Rv0080	O53625
83332.Rv0081	O53626
83332.Rv0083	Q10880
83332.Rv0085	P64681
83332.Rv0087	Q10884
83332.Rv0088	P0A5C3
83332.Rv0090	P64683
83332.Rv0091	P67656
83332.Rv0092	Q10876
83332.Rv0093c	Q10890
83332.Rv0097	P67755
83332.Rv0098	P64685
83332.Rv0099	Q10878
83332.Rv0100	P64687
83332.Rv0101	Q10896
83332.Rv0102	P64689
83332.Rv0103c	Q10877
83332.Rv0104	Q10898
83332.Rv0106	P64691
83332.Rv0107c	Q10900
83332.Rv0110	O53632
83332.Rv0112	O53634
83332.Rv0113	P0A604
83332.Rv0114	O53636
83332.Rv0115	O53637
83332.Rv0116c	O53638
83332.Rv0117	O33175
83332.Rv0118c	O53639
83332.Rv0119	O07169
83332.Rv0120c	O07170
83332.Rv0121c	O07171
83332.Rv0122	O07172
83332.Rv0123	O07173
83332.Rv0125	O07175
83332.Rv0126	O07176
83332.Rv0127	O07177
83332.Rv0128	P96805
83332.Rv0129c	P0A4V4
83332.Rv0130	P96807
83332.Rv0131c	P96808
83332.Rv0133	P96810
83332.Rv0134	P96811
83332.Rv0136	P63717
83332.Rv0137c	P0A5L0
83332.Rv0138	P96815
83332.Rv0139	P96816
83332.Rv0140	P96817
83332.Rv0143c	P96820
83332.Rv0144	P96821
83332.Rv0145	P96822
83332.Rv0146	P96823
83332.Rv0147	P96824
83332.Rv0148	P96825
83332.Rv0149	P96826
83332.Rv0153c	P96830
83332.Rv0154c	P96831
83332.Rv0155	P96832
83332.Rv0156	P96833
83332.Rv0157	P96834
83332.Rv0158	O53641
83332.Rv0160c	Q7DAC9
83332.Rv0161	O07406
83332.Rv0162c	Q7DAC8
83332.Rv0163	O07408
83332.Rv0164	Q8VKQ8
83332.Rv0165c	Q79G00
83332.Rv0166	O07411
83332.Rv0167	O07412
83332.Rv0168	O07413
83332.Rv0169	Q79FZ9
83332.Rv0170	O07414
83332.Rv0171	O07415
83332.Rv0172	O07416
83332.Rv0173	O07417
83332.Rv0174	O07418
83332.Rv0175	O07419
83332.Rv0176	O07420
83332.Rv0177	O07421
83332.Rv0178	O07422
83332.Rv0179c	O07423
83332.Rv0180c	O07424
83332.Rv0181c	P65724
83332.Rv0182c	O07426
83332.Rv0183	O07427
83332.Rv0184	O07428
83332.Rv0185	O07429
83332.Rv0186	O07430
83332.Rv0187	O07431
83332.Rv0189c	P65154
83332.Rv0190	O07434
83332.Rv0192	O07436
83332.Rv0194	O53645
83332.Rv0196	O53647
83332.Rv0198c	O53649
83332.Rv0199	O53650
83332.Rv0200	O53651
83332.Rv0201c	O53652
83332.Rv0202c	P65374
83332.Rv0203	O53654
83332.Rv0205	O53656
83332.Rv0206c	O53657
83332.Rv0207c	P96389
83332.Rv0208c	P67498
83332.Rv0209	P96391
83332.Rv0211	P65686
83332.Rv0212c	P96394
83332.Rv0214	P96396
83332.Rv0215c	P96397
83332.Rv0216	P96398
83332.Rv0217c	P96399
83332.Rv0218	P96400
83332.Rv0220	P96402
83332.Rv0221	P96403
83332.Rv0222	P96404
83332.Rv0223c	P96405
83332.Rv0224c	P96406
83332.Rv0225	P96407
83332.Rv0226c	P96408
83332.Rv0227c	P96409
83332.Rv0230c	P96413
83332.Rv0231	P96414
83332.Rv0232	P96415
83332.Rv0233	P96416
83332.Rv0234c	P71989
83332.Rv0236A	P0A5C5
83332.Rv0236c	P96419
83332.Rv0237	Q7DA74
83332.Rv0238	O53661
83332.Rv0239	O53662
83332.Rv0240	O53663
83332.Rv0241c	O53664
83332.Rv0242c	O53665
83332.Rv0243	O86361
83332.Rv0244c	O53666
83332.Rv0245	O53667
83332.Rv0247c	O53669
83332.Rv0248c	O53670
83332.Rv0249c	O53671
83332.Rv0250c	O53672
83332.Rv0251c	O53673
83332.Rv0252	O53674
83332.Rv0254c	O53676
83332.Rv0255c	P0A532
83332.Rv0256c	Q79FZ4
83332.Rv0258c	P95215
83332.Rv0260c	P95217
83332.Rv0262c	P0A5N0
83332.Rv0263c	P95220
83332.Rv0264c	P95221
83332.Rv0265c	Q7DA51
83332.Rv0266c	P95223
83332.Rv0268c	P95225
83332.Rv0269c	P95226
83332.Rv0270	P95227
83332.Rv0271c	P95228
83332.Rv0272c	P95229
83332.Rv0274	O53680
83332.Rv0275c	Q7DA42
83332.Rv0276	O53682
83332.Rv0277c	O53683
83332.Rv0280	Q79FY8
83332.Rv0281	O53686
83332.Rv0282	O53687
83332.Rv0283	O53688
83332.Rv0284	O53689
83332.Rv0285	Q7DA36
83332.Rv0286	Q7DA35
83332.Rv0287	O53692
83332.Rv0288	P0A568
83332.Rv0289	O53694
83332.Rv0290	O86362
83332.Rv0291	O53695
83332.Rv0292	O53696
83332.Rv0293c	O53697
83332.Rv0294	P66885
83332.Rv0295c	O53699
83332.Rv0296c	Q6MX51
83332.Rv0298	O07225
83332.Rv0299	O07226
83332.Rv0300	O07227
83332.Rv0301	O07228
83332.Rv0302	O07229
83332.Rv0303	O07230
83332.Rv0306	O07233
83332.Rv0307c	O07234
83332.Rv0308	O07235
83332.Rv0309	O07236
83332.Rv0310c	O07237
83332.Rv0311	O07238
83332.Rv0312	O07239
83332.Rv0313	O07240
83332.Rv0314c	O07241
83332.Rv0315	O07242
83332.Rv0316	O07243
83332.Rv0317c	O07244
83332.Rv0319	P0A5R4
83332.Rv0321	O07247
83332.Rv0322	O07248
83332.Rv0324	O08446
83332.Rv0325	O07250
83332.Rv0326	O07251
83332.Rv0327c	O08447
83332.Rv0328	O07252
83332.Rv0329c	O07253
83332.Rv0330c	O07254
83332.Rv0331	O07255
83332.Rv0332	O07256
83332.Rv0333	O33273
83332.Rv0334	P72017
83332.Rv0335c	O86338
83332.Rv0336	O33266
83332.Rv0337c	P63498
83332.Rv0338c	O33268
83332.Rv0339c	O33269
83332.Rv0340	O33270
83332.Rv0341	O06292
83332.Rv0342	O06293
83332.Rv0343	O06294
83332.Rv0344c	O06295
83332.Rv0345	O06296
83332.Rv0346c	P0A4W0
83332.Rv0347	O06298
83332.Rv0348	O06299
83332.Rv0349	O06300
83332.Rv0350	P0A5B9
83332.Rv0351	P32724
83332.Rv0352	P0A548
83332.Rv0353	O06302
83332.Rv0356c	O06307
83332.Rv0357c	P65880
83332.Rv0358	O06308
83332.Rv0359	O06309
83332.Rv0360c	O06310
83332.Rv0361	O06311
83332.Rv0362	O06312
83332.Rv0363c	P67475
83332.Rv0364	O06314
83332.Rv0365c	O06315
83332.Rv0366c	O53701
83332.Rv0367c	O53702
83332.Rv0376c	O53711
83332.Rv0377	O53712
83332.Rv0379	Q6MX43
83332.Rv0380c	O53715
83332.Rv0381c	O53716
83332.Rv0382c	P0A5U0
83332.Rv0383c	O53718
83332.Rv0384c	P63288
83332.Rv0385	Q7ARS9
83332.Rv0386	O53720
83332.Rv0389	P95197
83332.Rv0390	P95198
83332.Rv0391	P95199
83332.Rv0392c	P95200
83332.Rv0394c	P95202
83332.Rv0398c	P95206
83332.Rv0399c	P95207
83332.Rv0400c	P95208
83332.Rv0402c	P95211
83332.Rv0403c	P0A5K0
83332.Rv0404	P95213
83332.Rv0405	O86335
83332.Rv0406c	O86336
83332.Rv0407	P96253
83332.Rv0408	P96254
83332.Rv0409	P63409
83332.Rv0410c	P65728
83332.Rv0411c	P96257
83332.Rv0412c	P96258
83332.Rv0413	P96259
83332.Rv0414c	P66916
83332.Rv0415	P96261
83332.Rv0417	P96263
83332.Rv0418	P96264
83332.Rv0419	P96265
83332.Rv0421c	P96267
83332.Rv0422c	P66913
83332.Rv0423c	P66911
83332.Rv0424c	P96270
83332.Rv0425c	P96271
83332.Rv0426c	P96272
83332.Rv0427c	P96273
83332.Rv0428c	P96274
83332.Rv0429c	P96275
83332.Rv0430	P96276
83332.Rv0431	P96277
83332.Rv0432	P0A608
83332.Rv0433	P64693
83332.Rv0434	P96280
83332.Rv0435c	P96281
83332.Rv0436c	P96282
83332.Rv0437c	P67547
83332.Rv0438c	O53725
83332.Rv0439c	O53726
83332.Rv0440	P0A520
83332.Rv0441c	P0A5C7
83332.Rv0443	O53728
83332.Rv0444c	O53729
83332.Rv0445c	O53730
83332.Rv0446c	O53731
83332.Rv0450c	O53735
83332.Rv0451c	P0A5K2
83332.Rv0452	O53737
83332.Rv0455c	O53740
83332.Rv0456A	Q6MX40
83332.Rv0456c	O07179
83332.Rv0457c	O07178
83332.Rv0458	P63937
83332.Rv0459	O53744
83332.Rv0462	P66004
83332.Rv0464c	O53749
83332.Rv0465c	O53750
83332.Rv0466	O53751
83332.Rv0467	P0A5H3
83332.Rv0468	O53753
83332.Rv0469	Q6MX39
83332.Rv0470c	Q7D9R5
83332.Rv0472c	O53757
83332.Rv0474	O53759
83332.Rv0475	P0A5P6
83332.Rv0476	P64695
83332.Rv0477	P64697
83332.Rv0478	P63929
83332.Rv0479c	P64699
83332.Rv0480c	Q11146
83332.Rv0481c	P64701
83332.Rv0482	P65460
83332.Rv0483	P64703
83332.Rv0484c	Q11150
83332.Rv0485	P64705
83332.Rv0486	P64707
83332.Rv0487	P64709
83332.Rv0489	P0A5R6
83332.Rv0490	P0A600
83332.Rv0491	Q11156
83332.Rv0492c	Q11157
