From	To
10090.ENSMUSP00000000049	Q6LAL7
10090.ENSMUSP00000000090	P12787
10090.ENSMUSP00000000349	P53395
10090.ENSMUSP00000000939	Q9JKY5
10090.ENSMUSP00000001115	Q9EPB9
10090.ENSMUSP00000001183	Q91XD4
10090.ENSMUSP00000001187	Q9R0V2
10090.ENSMUSP00000001242	Q9D172
10090.ENSMUSP00000001452	Q3U0I3
10090.ENSMUSP00000001460	Q3TJ56
10090.ENSMUSP00000001479	Q3UHW8
10090.ENSMUSP00000001713	Q9DCY6
10090.ENSMUSP00000001715	Q6P6I4
10090.ENSMUSP00000001809	Q05DT1
10090.ENSMUSP00000001834	Q3TJ01
10090.ENSMUSP00000002007	P70665
10090.ENSMUSP00000002043	B1AR93
10090.ENSMUSP00000002171	A2AGN7
10090.ENSMUSP00000002403	Q3TVU9
10090.ENSMUSP00000002551	P62315
10090.ENSMUSP00000002663	P52430
10090.ENSMUSP00000002846	Q5I0T9
10090.ENSMUSP00000003044	Q3T9F5
10090.ENSMUSP00000003066	Q3UBS0
10090.ENSMUSP00000003100	P33267
10090.ENSMUSP00000003569	P40936
10090.ENSMUSP00000003620	Q9WU79
10090.ENSMUSP00000003622	Q3TDH6
10090.ENSMUSP00000003643	Q9D6U7
10090.ENSMUSP00000003720	Q9DC50
10090.ENSMUSP00000003726	Q3U3Z2
10090.ENSMUSP00000003906	Q3U0Y9
10090.ENSMUSP00000003912	Q3UWP8
10090.ENSMUSP00000004057	Q9D6U8
10090.ENSMUSP00000004072	Q3THC7
10090.ENSMUSP00000004232	P00329
10090.ENSMUSP00000004316	Q3TWF9
10090.ENSMUSP00000005015	Q05CA9
10090.ENSMUSP00000005041	Q922I0
10090.ENSMUSP00000005234	Q3TNK2
10090.ENSMUSP00000005256	Q3TSR4
10090.ENSMUSP00000005548	Q3TVV4
10090.ENSMUSP00000005651	P37040
10090.ENSMUSP00000005705	Q5EBP9
10090.ENSMUSP00000005841	Q61164
10090.ENSMUSP00000006094	Q8CIM7
10090.ENSMUSP00000006137	Q9CQN1
10090.ENSMUSP00000006235	Q6LAF6
10090.ENSMUSP00000006544	O88986
10090.ENSMUSP00000006697	Q61704
10090.ENSMUSP00000006703	A6X935
10090.ENSMUSP00000006749	Q3TZ12
10090.ENSMUSP00000006764	P08030
10090.ENSMUSP00000007012	Q3U8W4
10090.ENSMUSP00000007042	Q9Z1M8
10090.ENSMUSP00000007212	Q3TI61
10090.ENSMUSP00000007216	Q6A0C9
