From	To
160490.SPy_0007	Q9A206
160490.SPy_0013	Q9A201
160490.SPy_0020	P65243
160490.SPy_0022	P65742
160490.SPy_0024	Q9A1Z3
160490.SPy_0034	Q9A1Y5
160490.SPy_0038	Q9A1Y1
160490.SPy_0044	Q9A1X7
160490.SPy_0047	P66341
160490.SPy_0049	Q9A1X4
160490.SPy_0050	P0C0D6
160490.SPy_0051	Q9A1X2
160490.SPy_0052	P60434
160490.SPy_0053	P66496
160490.SPy_0055	P0C0D4
160490.SPy_0056	P66555
160490.SPy_0057	Q9A1W7
160490.SPy_0059	P66176
160490.SPy_0060	Q9A1W5
160490.SPy_0061	Q9A1W4
160490.SPy_0062	Q9A1W3
160490.SPy_0063	Q9A1W2
160490.SPy_0064	P66421
160490.SPy_0065	P66634
160490.SPy_0066	Q9A1V9
160490.SPy_0067	Q9A1V8
160490.SPy_0069	P66583
160490.SPy_0071	Q9A1V6
160490.SPy_0072	Q9A1V5
160490.SPy_0074	P69882
160490.SPy_0075	P65123
160490.SPy_0076	P66303
160490.SPy_0077	P66394
160490.SPy_0078	Q9A1V0
160490.SPy_0080	P66710
160490.SPy_0080a	Q491M8
160490.SPy_0096	Q9A1U3
160490.SPy_0098	Q9A1U1
160490.SPy_0099	P0C0E0
160490.SPy_0101	P72551
160490.SPy_0102	Q9A1T8
160490.SPy_0109	P63415
160490.SPy_0123	P0C0C3
160490.SPy_0127	Q9A1S3
160490.SPy_0128	Q9A1S2
160490.SPy_0130	B8QYI9
160490.SPy_0137	Q9A1R5
160490.SPy_0148	Q9A1Q7
160490.SPy_0154	Q9A1Q3
160490.SPy_0155	Q9A1Q2
160490.SPy_0157	Q9A1Q1
160490.SPy_0160	Q9A1P8
160490.SPy_0163	Q9A1P7
160490.SPy_0164	P68893
160490.SPy_0165	Q7DAN2
160490.SPy_0166	Q9A1P6
160490.SPy_0167	P0C0I3
160490.SPy_0173	Q9A1P0
160490.SPy_0176	Q9A1N7
160490.SPy_0177	Q9A1N6
160490.SPy_0184	Q9A1M9
160490.SPy_0185	Q9A1M8
160490.SPy_0189	Q9A1M4
160490.SPy_0196	Q9A1M0
160490.SPy_0197	Q9A1L9
160490.SPy_0203	Q9A1L6
160490.SPy_0215	Q9A1L1
160490.SPy_0223	Q9A1K8
160490.SPy_0224	P67068
160490.SPy_0226	P68887
160490.SPy_0228	Q9A1K6
160490.SPy_0238	Q9A1J9
160490.SPy_0239	P67023
160490.SPy_0242	Q9A1J7
160490.SPy_0247	P65631
160490.SPy_0251	P65522
160490.SPy_0262	Q9A1I0
160490.SPy_0263	Q9A1H9
160490.SPy_0271	P66376
160490.SPy_0272	P66619
160490.SPy_0273	P69946
160490.SPy_0274	P0C0G7
160490.SPy_0277	Q9A1H0
160490.SPy_0278	Q9A1G9
160490.SPy_0280	P67392
160490.SPy_0281	P60187
160490.SPy_0285	Q9A1G5
160490.SPy_0292	Q9A1G0
160490.SPy_0294	Q9A1F9
160490.SPy_0297	P0A2V6
160490.SPy_0303	Q9A1F6
160490.SPy_0308	Q9A1F2
160490.SPy_0316	P67188
160490.SPy_0320	Q9A1E3
160490.SPy_0327	Q9A1D8
160490.SPy_0329	Q9A1D7
160490.SPy_0334	Q9A1D4
160490.SPy_0337	Q7DAM9
160490.SPy_0338	P67320
160490.SPy_0341	P64064
160490.SPy_0342	Q9A1C9
160490.SPy_0345	Q9A1C7
160490.SPy_0348	Q9A1C5
160490.SPy_0349	P64285
160490.SPy_0351	Q9A1C3
160490.SPy_0358	Q9A1B9
160490.SPy_0359	P67295
160490.SPy_0362	Q9A1B6
160490.SPy_0366	Q9A1B2
160490.SPy_0369	Q9A1B0
160490.SPy_0378	Q9A1A4
160490.SPy_0380	P65757
160490.SPy_0386	Q06A44
160490.SPy_0392	P67400
160490.SPy_0395	P69884
160490.SPy_0399	Q9A190
160490.SPy_0405	Q9A187
160490.SPy_0406	Q9A186
160490.SPy_0410	Q9A183
160490.SPy_0412	Q9A182
160490.SPy_0414	Q9A181
160490.SPy_0416	Q9A180
160490.SPy_0422	Q9A178
160490.SPy_0441	Q9A165
160490.SPy_0443	Q9A163
160490.SPy_0450	Q9A158
160490.SPy_0453	P0A4G4
160490.SPy_0457	Q9A156
160490.SPy_0458	Q9A155
160490.SPy_0460	P66058
160490.SPy_0461	P66097
160490.SPy_0462	P65938
160490.SPy_0463	P68903
160490.SPy_0466	Q9A149
160490.SPy_0467	Q9A148
160490.SPy_0470	Q9A146
160490.SPy_0476	P0C0B9
160490.SPy_0503	Q9A127
