From	To
593117.TGAM_2156	C5A2Z7
593117.TGAM_2157	C5A2K0
593117.TGAM_2150	C5A2Z1
593117.TGAM_2151	C5A2Z2
593117.TGAM_2154	C5A2Z5
593117.TGAM_1792	C5A1M5
593117.TGAM_1791	C5A1M4
593117.TGAM_2152	C5A2Z3
593117.TGAM_1790	C5A1M3
593117.TGAM_2153	C5A2Z4
593117.TGAM_1784	C5A1L7
593117.TGAM_1529	C5A719
593117.TGAM_2147	C5A2Y8
593117.TGAM_2146	C5A2Y7
593117.TGAM_1526	C5A716
593117.TGAM_1782	C5A1L5
593117.TGAM_1783	C5A1L6
593117.TGAM_2145	C5A2Y6
593117.TGAM_1789	C5A1M2
593117.TGAM_1786	C5A1L9
593117.TGAM_1787	C5A1M0
593117.TGAM_2149	C5A2Z0
593117.TGAM_1520	C5A710
593117.TGAM_1521	C5A711
593117.TGAM_1525	C5A715
593117.TGAM_1522	C5A712
593117.TGAM_2140	C5A2Y1
593117.TGAM_2142	C5A2Y3
593117.TGAM_2143	C5A2Y4
593117.TGAM_1793	C5A1M6
593117.TGAM_1537	C5A727
593117.TGAM_2134	C5A2X5
593117.TGAM_1538	C5A728
593117.TGAM_2137	C5A2X8
593117.TGAM_1796	C5A1M9
593117.TGAM_1798	C5A1N1
593117.TGAM_1530	C5A720
593117.TGAM_1531	C5A721
593117.TGAM_1533	C5A723
593117.TGAM_1534	C5A724
593117.TGAM_1535	C5A725
593117.TGAM_1536	C5A726
593117.TGAM_2132	C5A2X3
593117.TGAM_2133	C5A2X4
593117.TGAM_2131	C5A2X2
593117.TGAM_2128	C5A2W9
593117.TGAM_2125	C5A2W6
593117.TGAM_2124	C5A2W5
593117.TGAM_2123	C5A2W4
593117.TGAM_1505	C5A6Z5
593117.TGAM_1503	C5A6Z3
593117.TGAM_1500	C5A6Z0
593117.TGAM_1501	C5A6Z1
593117.TGAM_2122	C5A2W3
593117.TGAM_1515	C5A705
593117.TGAM_2112	C5A2J5
593117.TGAM_2115	C5A2J8
593117.TGAM_2114	C5A2J7
593117.TGAM_1511	C5A701
593117.TGAM_1512	C5A702
593117.TGAM_1513	C5A703
593117.TGAM_1514	C5A704
593117.TGAM_0694	C5A4N4
593117.TGAM_2105	C5A2I8
593117.TGAM_2106	C5A2I9
593117.TGAM_2107	C5A2J0
593117.TGAM_0698	C5A4N7
593117.TGAM_2108	C5A2J1
593117.TGAM_0498	C5A438
593117.TGAM_0497	C5A437
593117.TGAM_2111	C5A2J4
593117.TGAM_0499	C5A439
593117.TGAM_2110	C5A2J3
593117.TGAM_2100	C5A2I3
593117.TGAM_0461	C5A401
593117.TGAM_0460	C5A400
593117.TGAM_0459	C5A3Z9
593117.TGAM_0453	C5A3Z3
593117.TGAM_0454	C5A3Z4
593117.TGAM_0452	C5A3Z2
593117.TGAM_0457	C5A3Z7
593117.TGAM_0455	C5A3Z5
593117.TGAM_0470	C5A410
593117.TGAM_0472	C5A412
593117.TGAM_0200	C5A390
593117.TGAM_0202	C5A392
593117.TGAM_0462	C5A402
593117.TGAM_0463	C5A403
593117.TGAM_0464	C5A404
593117.TGAM_0465	C5A405
593117.TGAM_0467	C5A407
593117.TGAM_0468	C5A408
593117.TGAM_0469	C5A409
593117.TGAM_0483	C5A423
593117.TGAM_0482	C5A422
593117.TGAM_0481	C5A421
593117.TGAM_0480	C5A420
593117.TGAM_0479	C5A419
593117.TGAM_0477	C5A417
593117.TGAM_0474	C5A414
593117.TGAM_0490	C5A430
593117.TGAM_0488	C5A428
593117.TGAM_0489	C5A429
593117.TGAM_0485	C5A425
593117.TGAM_0486	C5A426
593117.TGAM_0487	C5A427
593117.TGAM_0425	C5A3W5
593117.TGAM_0424	C5A3W4
593117.TGAM_0423	C5A3W3
593117.TGAM_0422	C5A3W2
593117.TGAM_0421	C5A3W1
593117.TGAM_0420	C5A3W0
593117.TGAM_0054	C5A2Q3
593117.TGAM_0249	C5A3D9
593117.TGAM_0248	C5A3D8
593117.TGAM_0246	C5A3D6
593117.TGAM_0244	C5A3D4
593117.TGAM_0428	C5A3W8
593117.TGAM_0243	C5A3D3
593117.TGAM_0427	C5A3W7
593117.TGAM_0426	C5A3W6
593117.TGAM_0251	C5A3E1
593117.TGAM_0810	C5A500
593117.TGAM_0048	C5A2P8
593117.TGAM_0049	C5A2P9
593117.TGAM_0250	C5A3E0
593117.TGAM_0629	C5A4G9
593117.TGAM_0626	C5A4G6
593117.TGAM_0047	C5A2P7
