BEGIN RESULTS HEADER:
endoplasmic reticulum membrane2.25626116862chloroplast3.52314576125peroxisome membrane0.0361310710326golgi apparatus0.346492772969nucleus membrane0.0405433383051secreted1.50349490728plastid0.0415381631777cytoplasm64.326014677vacuole membrane0.524482369472endoplasmic reticulum0.45443828568vacuole0.198104525059chloroplast membrane0.147926460112nucleus12.7554010108plasma membrane2.9211634772peroxisome1.35942264705mitochondrion7.48474526279golgi apparatus membrane0.498099866155mitochondrion membrane1.57117470072P34232,90.1813166895,32|MTR2_YEAST mRNA transport regulator MTR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MTR2 PE=1 SV=1,187,nucleus,1.0,False,450.906583448,112.426041473,0.00541145431141
Q06108,6.48418924144,08|RGC1_YEAST Regulator of the glycerol channel 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RGC1 PE=1 SV=1,1101,cytoplasm,1.0,False,32.4209462072,47.5939490322,0.0022908614171
Q06109,1.42594630645,09|RRG8_YEAST Required for respiratory growth protein 8, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRG8 PE=1 SV=1,281,mitochondrion,1.0,False,7.12973153227,2.67127274742,0.000128577598541
Q05031,67.155435427,31|DFG5_YEAST Mannan endo-1,6-alpha-mannosidase DFG5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DFG5 PE=1 SV=1,465,endoplasmic reticulum membrane,0.29,False,335.777177135,208.181849824,0.0100205126324
Q03760,1.29378644821,60|PML39_YEAST Pre-mRNA leakage protein 39 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PML39 PE=1 SV=2,339,nucleus,0.8,False,6.46893224103,2.92395737295,0.000140740183724
Q03649,2.22106592281,49|YM60_YEAST Putative esterase YMR210W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR210W PE=1 SV=1,456,mitochondrion,0.07,False,11.105329614,6.75204040533,0.000324999063238
P32379,492.992793923,79|PSA5_YEAST Proteasome subunit alpha type-5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PUP2 PE=1 SV=2,264,nucleus,0.16,False,2464.96396961,867.667317304,0.0417638296571
Q08230,12.354825922,30|SDHF2_YEAST Succinate dehydrogenase assembly factor 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EMI5 PE=1 SV=1,164,mitochondrion,1.0,False,61.7741296098,13.507943008,0.000650184027396
P23059,2.6777433027,59|NAA38_YEAST N-alpha-acetyltransferase 38, NatC auxiliary subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MAK31 PE=1 SV=1,89,nucleus,0.19,False,13.3887165135,1.5887943596,7.64741689254e-05
Q06106,18.1439390047,06|MRD1_YEAST Multiple RNA-binding domain-containing protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRD1 PE=1 SV=1,901,nucleus,1.0,False,90.7196950236,108.984593622,0.00524580552072
P30619,7.29529038752,19|SEC1_YEAST Protein transport protein SEC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC1 PE=1 SV=1,736,cytoplasm,0.1,False,36.4764519376,35.7955581681,0.00172296404854
Q06104,0.883549804658,04|YPR09_YEAST Uncharacterized membrane protein YPR109W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPR109W PE=1 SV=1,298,endoplasmic reticulum membrane,0.4,False,4.41774902329,1.75531894525,8.44895733208e-05
P32378,1.36904137891,78|COQ2_YEAST 4-hydroxybenzoate polyprenyltransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COQ2 PE=3 SV=1,378,mitochondrion membrane,1.0,False,6.84520689457,3.44998427486,0.000166059678291
P39972,0.400452975736,72|YEI5_YEAST Uncharacterized protein YEL075C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YEL075C PE=4 SV=1,124,cytoplasm,0.07,False,2.00226487868,0.331041126609,1.59341546529e-05
P40555,3.88819985776,55|PSMD9_YEAST Probable 26S proteasome regulatory subunit p27 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NAS2 PE=1 SV=1,223,cytoplasm,0.66,False,19.4409992888,5.78045712188,0.000278233398635
P39970,1.6984479302,70|ACA1_YEAST ATF/CREB activator 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACA1 PE=2 SV=1,497,nucleus,0.15,False,8.49223965101,5.62752414207,0.000270872205249
P39971,0.358747061371,71|YEI6_YEAST Uncharacterized protein YEL076C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YEL076C PE=4 SV=1,219,secreted,0.29,False,1.79373530685,0.523770709601,2.52108962259e-05
P39976,687.140861047,76|DLD3_YEAST D-lactate dehydrogenase [cytochrome] 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DLD3 PE=1 SV=1,504,cytoplasm,1.0,False,3435.70430523,2308.79329312,0.111130208415
P48564,2.60006029246,64|YN35_YEAST Uncharacterized protein YNL295W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL295W PE=1 SV=1,532,mitochondrion,0.31,False,13.0003014623,9.22154717059,0.000443864967052
P48567,35.4845399585,67|PUS4_YEAST tRNA pseudouridine synthase 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PUS4 PE=1 SV=1,409,cytoplasm,0.36,False,177.422699793,96.7545122869,0.00465712939639
P40553,8.55034494682,53|DOT5_YEAST Peroxiredoxin DOT5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DOT5 PE=1 SV=1,218,nucleus,1.0,False,42.7517247341,12.4265013227,0.000598130497859
P48569,1.12684772675,69|YD183_YEAST Uncharacterized protein YDL183C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDL183C PE=1 SV=1,325,mitochondrion,0.33,False,5.63423863374,2.44150340796,0.00011751800535
Q03441,1.96381435375,41|RMD1_YEAST Sporulation protein RMD1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RMD1 PE=1 SV=1,437,cytoplasm,1.0,False,9.81907176875,5.72124581726,0.000275383353704
P39978,1.05527212231,78|YEH7_YEAST Uncharacterized protein YEL067C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YEL067C PE=4 SV=1,198,secreted,0.11,False,5.27636061153,1.39295920144,6.7047945276e-05
P39979,14.400813763,79|HPA3_YEAST D-amino-acid N-acetyltransferase HPA3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HPA3 PE=1 SV=1,181,cytoplasm,0.92,False,72.0040688149,17.3769819407,0.000836414256076
P40558,0.549218047315,58|CFD1_YEAST Cytosolic Fe-S cluster assembly factor CFD1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CFD1 PE=1 SV=1,297,cytoplasm,1.0,False,2.74609023658,1.08745173368,5.23428139567e-05
P40559,0.464037680296,59|INP51_YEAST Phosphatidylinositol 4,5-bisphosphate 5-phosphatase INP51 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=INP51 PE=1 SV=1,961,cytoplasm,1.0,False,2.32018840148,2.97293473843,0.00014309763376
Q03446,27.9446115287,46|RCR2_YEAST Protein RCR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RCR2 PE=1 SV=1,213,endoplasmic reticulum membrane,0.37,False,139.723057644,39.6813483708,0.0019100005738
Q03195,316.791706751,95|RLI1_YEAST Translation initiation factor RLI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RLI1 PE=1 SV=1,618,nucleus,0.15,False,1583.95853375,1305.18183181,0.0628229168119
P38199,189.00009489,99|HEK2_YEAST Heterogeneous nuclear rnp K-like protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HEK2 PE=1 SV=1,387,cytoplasm,0.18,False,945.000474452,487.620244817,0.0234708492941
P38198,0.978303272169,98|STU1_YEAST Protein STU1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STU1 PE=1 SV=1,1538,cytoplasm,0.11,False,4.89151636084,10.0308695506,0.000482820453036
P25379,186.670226527,79|STDH_YEAST Catabolic L-serine/threonine dehydratase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CHA1 PE=1 SV=2,365,mitochondrion,1.0,False,933.351132634,454.230884549,0.0218637038747
P25378,12.8678118996,78|RHEB_YEAST Rheb-like protein RHB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RHB1 PE=1 SV=2,212,cytoplasm,0.22,False,64.3390594978,18.1865074847,0.000875379521045
P38193,19.8866505959,93|PP4R2_YEAST Serine/threonine-protein phosphatase 4 regulatory subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PSY4 PE=1 SV=1,448,nucleus,1.0,False,99.4332529795,59.3947964464,0.00285887702791
P25374,122.66583655,74|NFS1_YEAST Cysteine desulfurase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NFS1 PE=1 SV=2,505,mitochondrion,1.0,False,613.329182751,412.974983052,0.0198779146118
P38191,0.301280889209,91|MOH1_YEAST Protein yippee-like MOH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MOH1 PE=3 SV=1,140,nucleus,0.36,False,1.50640444604,0.281195496595,1.35349120405e-05
P25376,386.155122594,76|AGP1_YEAST General amino acid permease AGP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AGP1 PE=1 SV=3,643,mitochondrion membrane,0.61,False,1930.77561297,1655.31829219,0.0796761959387
P38197,85.242012484,97|YBD6_YEAST UPF0001 protein YBL036C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YBL036C PE=1 SV=1,261,cytoplasm,0.4,False,426.21006242,148.321101722,0.00713920773935
P38196,98.3111243635,96|FUI1_YEAST Uridine permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FUI1 PE=1 SV=1,649,golgi apparatus membrane,0.16,False,491.555621817,425.359464746,0.0204740225596
P25373,309.450041715,73|GLRX1_YEAST Glutaredoxin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRX1 PE=1 SV=1,111,cytoplasm,0.25,False,1547.25020857,228.993030869,0.0110222267719
P25372,38.2323306345,72|TRX3_YEAST Thioredoxin-3, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRX3 PE=1 SV=1,129,mitochondrion,1.0,False,191.161653173,32.8798043457,0.00158261873009
Q06102,10.5952334942,02|YTH1_YEAST mRNA 3'-end-processing protein YTH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YTH1 PE=1 SV=1,211,nucleus,1.0,False,52.9761674708,14.9039617818,0.000717379240472
P38759,14.9900116267,59|VPS29_YEAST Vacuolar protein sorting-associated protein 29 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS29 PE=1 SV=1,286,cytoplasm,0.44,False,74.9500581336,28.5809555016,0.00137570026345
Q03049,0.551237383647,49|YD541_YEAST Putative uncharacterized oxidoreductase YDR541C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDR541C PE=3 SV=2,349,cytoplasm,0.33,False,2.75618691823,1.28254564595,6.1733358877e-05
Q06103,167.577462906,03|RPN7_YEAST 26S proteasome regulatory subunit RPN7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN7 PE=1 SV=3,436,nucleus,0.5,False,837.887314531,487.091825514,0.023445414645
P38755,22.9873190771,55|OSH7_YEAST Oxysterol-binding protein homolog 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OSH7 PE=1 SV=1,444,endoplasmic reticulum membrane,0.22,False,114.936595385,68.0424644681,0.0032751192062
P38754,1788.1854434,54|RL14B_YEAST 60S ribosomal protein L14-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL14B PE=1 SV=1,140,cytoplasm,1.0,False,8940.92721699,1668.97308051,0.0803334481389
P38757,2.37364963745,57|NEM1_YEAST Nuclear envelope morphology protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NEM1 PE=1 SV=1,453,mitochondrion membrane,0.27,False,11.8682481872,7.16842190508,0.000345040945283
P38756,67.9325438834,56|YHG3_YEAST Uncharacterized protein YHR003C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YHR003C PE=1 SV=1,436,chloroplast,0.13,False,339.662719417,197.457260888,0.0095043010654
Q01976,164.851077223,76|ADPP_YEAST ADP-ribose pyrophosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YSA1 PE=1 SV=2,234,cytoplasm,0.38,False,824.255386113,257.167680467,0.0123783701266
P38750,4.10619682518,50|YHA8_YEAST Uncharacterized transporter YHL008C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YHL008C PE=1 SV=1,637,golgi apparatus membrane,0.28,False,20.5309841259,17.4376491843,0.000839334380388
P38753,22.0097845926,53|HSE1_YEAST Class E vacuolar protein-sorting machinery protein HSE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSE1 PE=1 SV=1,459,cytoplasm,0.4,False,110.048922963,67.3499408533,0.00324178564885
Q06563,1.06039467823,63|SYM1_YEAST Protein SYM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SYM1 PE=1 SV=1,200,mitochondrion membrane,1.0,False,5.30197339117,1.41385957098,6.8053952366e-05
P38175,1.94313061967,75|RT21_YEAST 37S ribosomal protein MRP21, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRP21 PE=1 SV=1,179,mitochondrion,1.0,False,9.71565309835,2.31880253947,0.000111611988069
P38174,74.8831916893,74|MAP2_YEAST Methionine aminopeptidase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MAP2 PE=1 SV=4,428,cytoplasm,1.0,False,374.415958446,213.666706953,0.0102845177808
P38177,6.79044647585,77|YBI6_YEAST Uncharacterized protein YBL086C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YBL086C PE=1 SV=1,473,nucleus,0.47,False,33.9522323793,21.4125412205,0.00103065968514
P38176,0.236672774491,76|AVT5_YEAST Vacuolar amino acid transporter 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AVT5 PE=3 SV=2,466,vacuole membrane,1.0,False,1.18336387246,0.735263419419,3.53907720036e-05
Q00539,33.2592791621,39|NAM8_YEAST Protein NAM8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NAM8 PE=1 SV=2,531,mitochondrion,1.0,False,166.29639581,117.737848234,0.00566712994688
